id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6879123,Studio dans quartier sympathique,33029945,Sylvie,,Rosemont-La Petite-Patrie,45.54575623388674,-73.58754379606714,Entire home/apt,39,3,4,2015-09-14,2.50,1,81
5213512,Huge apartment w terrace near metro,8790808,Karine,,Rosemont-La Petite-Patrie,45.54184522838165,-73.60729607120723,Entire home/apt,150,2,4,2015-09-28,4,1,255
1791780,Très grand 3 1/2 rénové et meublé,9271198,Carole Et Alain,,Rosemont-La Petite-Patrie,45.54913129723835,-73.59664233132426,Entire home/apt,90,5,0,,,1,92
674506,Bel appart familial Rosemont,3341269,Julien,,Rosemont-La Petite-Patrie,45.544972515450084,-73.58217914311102,Entire home/apt,73,3,4,2015-09-09,1.24,1,158
8456878,Apart familial restauré avec jardin,11345975,Jonathan,,Rosemont-La Petite-Patrie,45.539268859133486,-73.59911647698345,Entire home/apt,139,2,0,,,1,108
8325802,Oasis au coeur de Montréal,5256187,Renée,,Rosemont-La Petite-Patrie,45.55065993966338,-73.57531033949085,Entire home/apt,110,5,0,,,2,365
7113371,Charming and bright apartment,17254415,Manil & Doria,,Rosemont-La Petite-Patrie,45.53077326787912,-73.61835460026606,Entire home/apt,135,1,1,2015-08-17,0.64,1,67
7053764,A classic Montreal style apartment!,25437457,Sasha,,Rosemont-La Petite-Patrie,45.53603263572661,-73.60948526632012,Entire home/apt,61,1,1,2015-08-14,0.60,1,240
985552,Nice and quiet entire apartment,5407157,Emilie,,Rosemont-La Petite-Patrie,45.54114536523691,-73.58649080884882,Entire home/apt,48,10,3,2015-04-26,0.21,1,243
6425025,Cozy appartement,12763551,Julie,,Rosemont-La Petite-Patrie,45.537149051449774,-73.601747879638,Entire home/apt,74,5,0,,,1,335
4868530,belle chambre meublée,24739345,Aurelie,,Rosemont-La Petite-Patrie,45.5472836166686,-73.59431944909603,Private room,31,2,0,,,1,335
7883179,"Joli appartement, quartier charmant",2565612,Mel,,Rosemont-La Petite-Patrie,45.54607804100577,-73.5947840356162,Entire home/apt,89,3,0,,,2,133
145137,Cute apt in great neighbourhood,702508,Andréane,,Rosemont-La Petite-Patrie,45.5510911214343,-73.57565657431212,Entire home/apt,65,5,22,2015-09-06,0.43,3,271
3656096,Sunny flat - Jean-Talon Market!,1216089,Louis-Xavier,,Rosemont-La Petite-Patrie,45.53175440991812,-73.6184040347754,Entire home/apt,90,2,39,2015-09-29,2.73,1,336
4802877,Chambre douillette & accueillante,24743589,Félix,,Rosemont-La Petite-Patrie,45.532076941230684,-73.6080842446916,Private room,37,1,4,2015-09-07,1.54,1,358
461067,SUPER APPART ROSEMONT  PTE PATRIE,2291328,Isabel,,Rosemont-La Petite-Patrie,45.547994650651816,-73.59134876856076,Entire home/apt,35,4,36,2015-09-15,0.89,1,131
6335178,In the heart of Little Italy .,29476919,Basset,,Rosemont-La Petite-Patrie,45.53212588465942,-73.6157536597047,Entire home/apt,60,1,14,2015-08-30,3.18,1,334
6870740,Designer house close to downtown,4405223,Jonathan,,Rosemont-La Petite-Patrie,45.5488273412458,-73.55649490028242,Entire home/apt,175,2,4,2015-09-07,2.55,1,365
939730,High End Plateau apt. With Parking!,3345978,Mathieu,,Rosemont-La Petite-Patrie,45.53183218607759,-73.61324759585197,Entire home/apt,135,7,4,2015-08-22,0.14,4,129
871035,"Cozy room, garden, Marché J Talon",4591381,Marie,,Rosemont-La Petite-Patrie,45.542649063273856,-73.60650046732206,Private room,32,2,6,2015-09-22,2.95,1,322
1084010,Sunny + Quiet 1bdr in Little Italy,5960179,Kandis,,Rosemont-La Petite-Patrie,45.532897620228034,-73.60304129741357,Entire home/apt,50,3,4,2014-02-24,0.17,1,122
8292967,Urban Loft with roof top terrace,43724528,Mylène,,Rosemont-La Petite-Patrie,45.54947817676836,-73.57378169184925,Entire home/apt,92,2,2,2015-09-27,2,1,355
470114,"Comfortable private room, Montreal",2331294,Nathalie,,Rosemont-La Petite-Patrie,45.542612792644654,-73.61120702734986,Private room,80,2,42,2015-09-14,1.09,1,360
6457918,La maison aux raisins,11943389,Philippe,,Rosemont-La Petite-Patrie,45.550619723958576,-73.55510667055229,Entire home/apt,66,2,3,2015-09-13,0.77,1,357
4180529,Cozy apartment in Little-Italy,935598,Ximena,,Rosemont-La Petite-Patrie,45.534791421204545,-73.61533371528712,Entire home/apt,74,3,17,2015-09-08,1.53,1,360
